Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
EOGGr4_CACR_AIG,True,False,False,True,False,True,3
EOGGr3_GLP_SWD,True,False,False,True,False,True,3
EOGGr3_CACR_White,True,False,False,True,False,True,3
EOGGr3_CACR_TwoorMoreRaces,True,False,False,True,False,True,3
EOGGr3_CACR_LEP,True,False,False,True,False,True,3
EOGGr3_CACR_Hispanic,True,False,False,True,False,True,3
EOGGr3_CACR_Black,True,False,False,True,False,True,3
EOGGr3_CACR_AmericanIndian,False,False,True,True,False,True,3
EOGGr3_CACR_All,True,False,False,True,False,True,3
EOGGr3_CACR_AIG,True,False,False,True,False,True,3
EOG/EOCSubjects_GLP_LEP,True,False,False,True,False,True,3
EOG/EOCSubjects_CACR_White,True,False,False,True,False,True,3
EOG/EOCSubjects_CACR_LEP,True,False,False,True,False,True,3
EOG/EOCSubjects_CACR_Asian,True,False,False,True,False,True,3
EOCMathI_GLP_LEP,False,False,True,True,False,True,3
EOCMathI_CACR_White,False,False,True,True,False,True,3
EOCMathI_CACR_Black,True,False,False,True,False,True,3
EOCMathI_CACR_AmericanIndian,False,False,True,True,False,True,3
Domestic production activities deduction Ct 50KLT75K,True,False,False,True,False,True,3
Domestic production activities deduction Amt 100KLT200K,True,False,False,True,False,True,3
(VITA) prepared returns Ct 100KLT200K,True,False,False,True,False,True,3
unit_code,False,False,False,True,False,True,2
short_susp_per_c_num,True,False,False,False,False,True,2
nbpts_num,True,False,True,False,False,False,2
lea_wap_num,False,False,False,True,False,True,2
lea_state_perpupil_num,True,False,False,False,False,True,2
lea_sat_avg_score_num,True,False,False,False,False,True,2
lea_salary,False,False,False,True,False,True,2
lea_local_perpupil_num,False,False,False,True,False,True,2
lea_avg_student_num,False,False,False,True,False,True,2
highqual_class_pct,False,False,True,False,True,False,2
avg_age_media_collection,False,False,False,True,False,True,2
_1_to_1_access_Yes,False,True,False,False,True,False,2
Net investment income tax Amt 100KLT200K,False,True,True,False,False,False,2
Excess earned income credit (refundable) Amt 50KLT75K,False,True,False,False,True,False,2
Earned income credit Amt 50KLT75K,False,False,True,False,True,False,2
EOGSubjects_CACR_AIG,True,False,True,False,False,False,2
EOGScienceGr5_CACR_EDS,True,False,True,False,False,False,2
EOGScienceGr5&8_GLP_SWD,True,False,True,False,False,False,2
