,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
lea_wap_per_classroom,0.42,0.36,0.33,0.26,0.64,0.02,0.01,0.03,0.26
EOGReadingGr5_CACR_SWD,0.42,0.5,0.34,0.37,0.4,0.0,0.02,0.05,0.26
03_Size,0.42,0.33,0.25,0.2,0.67,0.01,0.06,0.14,0.26
lea_advance_dgr_pct,0.42,0.44,0.33,0.31,0.32,0.03,0.1,0.17,0.26
EOGMathGr3_CACR_EDS,0.42,0.41,0.33,0.31,0.27,0.01,0.11,0.18,0.26
lea_nbpts_num,0.42,0.38,0.26,0.23,0.42,0.01,0.1,0.24,0.26
EOCSubjects_CACR_TwoorMoreRaces,0.42,0.46,0.36,0.36,0.31,0.0,0.0,0.16,0.26
EOCSubjects_CACR_SWD,0.42,0.47,0.33,0.31,0.47,0.0,0.0,0.08,0.26
Number of farm returns 75KLT100K,0.41,0.17,0.24,0.19,0.92,0.01,0.04,0.13,0.26
EOGMathGr3_CACR_LEP,0.42,0.51,0.33,0.31,0.48,0.0,0.01,0.04,0.26
Alternative minimum tax Amt 75KLT100K,0.42,0.27,0.31,0.31,0.7,0.0,0.0,0.03,0.26
lea_ib_pct_4_or_above,0.42,0.55,0.34,0.34,0.36,0.0,0.0,0.05,0.26
Alternative minimum tax Ct 50KLT75K,0.42,0.34,0.31,0.28,0.72,0.0,0.0,0.04,0.26
SciGr5&8_pTarget_PctMet,0.42,0.33,0.32,0.29,0.58,0.0,0.01,0.09,0.26
Not Demostrated_TCHR_Standard 1_Pct,0.42,0.48,0.43,0.6,0.16,0.0,0.0,0.02,0.26
EOGMathGr3_CACR_Black,0.42,0.34,0.33,0.3,0.57,0.0,0.0,0.09,0.26
Attrition_Reason_InitiatedbyLEA,0.42,0.15,0.33,0.3,0.83,0.0,0.0,0.05,0.26
Math I_Size,0.42,0.46,0.33,0.34,0.4,0.01,0.02,0.11,0.26
EOGReadingGr4_CACR_AmericanIndian,0.42,0.5,0.33,0.31,0.55,0.0,0.0,0.01,0.26
Avg Personal Property Taxes,0.42,0.46,0.33,0.31,0.33,0.01,0.06,0.15,0.26
EOGMathGr3-8_CACR_White,0.42,0.46,0.33,0.31,0.19,0.01,0.12,0.26,0.26
Net investment income tax Amt 100KLT200K,0.42,0.1,0.33,0.29,0.83,0.0,0.0,0.04,0.25
avg_daily_attend_pct,0.42,0.45,0.33,0.31,0.14,0.04,0.12,0.19,0.25
Grad_project_status_Y,0.42,0.46,0.36,0.35,0.38,0.0,0.02,0.04,0.25
Math SPG Grade_B,0.42,0.41,0.31,0.31,0.21,0.0,0.12,0.23,0.25
EVAAS Growth Score,0.42,0.36,0.32,0.27,0.39,0.03,0.04,0.13,0.25
Number of volunteer prepared returns Tot 50KLT75K,0.42,0.55,0.33,0.31,0.32,0.0,0.0,0.05,0.25
05_Size,0.42,0.38,0.33,0.29,0.38,0.01,0.04,0.12,0.25
EOGGr4_CACR_LEP,0.42,0.35,0.33,0.31,0.59,0.0,0.0,0.02,0.25
EOGSubjects_CACR_Asian,0.42,0.37,0.33,0.31,0.45,0.0,0.02,0.08,0.25
lea_crime_per_c_num,0.42,0.37,0.33,0.15,0.55,0.02,0.02,0.13,0.25
EOGGr5_CACR_SWD,0.42,0.36,0.29,0.22,0.44,0.01,0.08,0.16,0.25
EOGMathGr3-8_CACR_Black,0.42,0.35,0.32,0.25,0.49,0.01,0.01,0.17,0.25
EOGMathGr3-8_CACR_LEP,0.42,0.37,0.33,0.31,0.43,0.01,0.02,0.08,0.25
EOGMathGr4_CACR_AmericanIndian,0.42,0.35,0.33,0.31,0.55,0.0,0.0,0.01,0.25
EOGMathGr4_CACR_Hispanic,0.42,0.45,0.33,0.31,0.37,0.01,0.02,0.07,0.25
EOCSubjects_CACR_Hispanic,0.42,0.3,0.28,0.2,0.66,0.01,0.0,0.11,0.25
EOGMathGr5_CACR_LEP,0.42,0.48,0.33,0.33,0.45,0.0,0.0,0.02,0.25
EOGMathGr5_CACR_TwoorMoreRaces,0.42,0.46,0.34,0.36,0.38,0.0,0.0,0.01,0.25
EOGReadingGr3-8_CACR_Black,0.42,0.4,0.33,0.31,0.3,0.01,0.0,0.22,0.25
EOCSubjects_CACR_AIG,0.42,0.38,0.33,0.31,0.47,0.0,0.0,0.06,0.25
EOGReadingGr3-8_CACR_SWD,0.42,0.35,0.33,0.31,0.39,0.01,0.08,0.13,0.25
EOGGr4_CACR_Black,0.42,0.46,0.33,0.31,0.34,0.01,0.01,0.1,0.25
EOGReadingGr3-8_GLP_LEP,0.42,0.45,0.32,0.3,0.43,0.01,0.02,0.08,0.25
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.42,0.45,0.33,0.33,0.31,0.01,0.01,0.15,0.25
EOGScienceGr5&8_CACR_AIG,0.42,0.33,0.29,0.27,0.51,0.0,0.05,0.15,0.25
Domestic production activities deduction Amt LT25K,0.42,0.4,0.33,0.31,0.46,0.0,0.01,0.04,0.25
EOGReadingGr3_GLP_LEP,0.42,0.29,0.3,0.29,0.58,0.0,0.01,0.03,0.24
EOGMathGr5_CACR_AIG,0.42,0.46,0.33,0.31,0.14,0.0,0.09,0.21,0.24
EOGScienceGr5_CACR_SWD,0.42,0.45,0.33,0.31,0.26,0.0,0.03,0.08,0.24
Partnership/S-corp net income (less loss) Amt LT25K,0.42,0.16,0.29,0.27,0.63,0.01,0.01,0.09,0.24
EOGMathGr3-8_CACR_AmericanIndian,0.42,0.48,0.33,0.31,0.35,0.0,0.0,0.02,0.24
EOGGr3_CACR_Hispanic,0.42,0.45,0.33,0.31,0.27,0.0,0.04,0.11,0.24
EOGScienceGr5_CACR_LEP,0.42,0.37,0.33,0.3,0.45,0.0,0.0,0.02,0.24
EOGGr5_CACR_AIG,0.42,0.4,0.31,0.29,0.23,0.0,0.08,0.22,0.24
EVAAS Growth Status_Met,0.42,0.45,0.34,0.33,0.39,0.0,0.0,0.01,0.24
EOGScienceGr5_CACR_Black,0.42,0.31,0.33,0.26,0.52,0.0,0.0,0.1,0.24
EOGMathGr4_CACR_Black,0.42,0.41,0.33,0.31,0.34,0.0,0.0,0.1,0.24
crime_per_c_num,0.42,0.41,0.33,0.31,0.1,0.04,0.0,0.27,0.24
EOG/EOCSubjects_CACR_AmericanIndian,0.42,0.45,0.33,0.32,0.36,0.0,0.0,0.04,0.24
Deductible points Ct LT25K,0.42,0.24,0.19,0.12,0.86,0.0,0.01,0.07,0.24
EOGMathGr5_CACR_EDS,0.42,0.4,0.33,0.35,0.23,0.01,0.07,0.13,0.24
(TCE) prepared returns Ct 75KLT100K,0.42,0.39,0.33,0.31,0.36,0.0,0.02,0.07,0.24
