VIF Factor,ABSVIFFactor,features,indexes
7.725228683220993,7.725228683220993,Domestic production activities deduction Amt 100KLT200K,51
7.834583602278286,7.834583602278286,EOGReadingGr4_CACR_Hispanic,196
7.867570946039989,7.867570946039989,Domestic production activities deduction Ct LT25K,59
7.935540294707886,7.935540294707886,EOGScienceGr5&8_CACR_LEP,219
7.949014096264156,7.949014096264156,Reading SPG Grade_F,289
7.976914866804426,7.976914866804426,EOGScienceGr5_CACR_LEP,229
7.998815280030076,7.998815280030076,EOGMathGr3-8_CACR_AIG,129
8.195505738619303,8.195505738619303,EOGMathGr5_GLP_SWD,174
8.327060338955226,8.327060338955226,EOGReadingGr5_CACR_Hispanic,205
8.572782143768663,8.572782143768663,EOCMathI_CACR_White,71
8.58896584246324,8.58896584246324,EOGReadingGr5_CACR_SWD,207
8.603712271965135,8.603712271965135,EOGGr5_CACR_AIG,119
8.614712399154255,8.614712399154255,EOGMathGr3_CACR_LEP,147
8.632841423684566,8.632841423684566,EOGScienceGr5&8_GLP_LEP,223
8.687695140774215,8.687695140774215,(TCE) prepared returns Ct 75KLT100K,2
8.783202862810894,8.783202862810894,EOGReadingGr5_CACR_Black,203
8.833359096620931,8.833359096620931,wap_num,405
8.867640784779523,8.867640784779523,EOCMathI_CACR_Male,68
8.99728102299328,8.99728102299328,EOCMathI_CACR_SWD,69
9.055712842132799,9.055712842132799,EOGMathGr4_CACR_Hispanic,157
9.060067615348997,9.060067615348997,EOG/EOCSubjects_CACR_Black,87
9.216342583967922,9.216342583967922,EOGMathGr4_CACR_Black,155
9.251880139611115,9.251880139611115,EOGScienceGr5_CACR_AmericanIndian,225
9.265483401228398,9.265483401228398,EOGReadingGr4_CACR_Black,194
9.270032942088799,9.270032942088799,SPG Grade_F,303
9.418205340054337,9.418205340054337,EOGReadingGr3-8_CACR_TwoorMoreRaces,181
9.468946171876325,9.468946171876325,EOGMathGr3-8_CACR_TwoorMoreRaces,137
9.575911975368102,9.575911975368102,EOGReadingGr3_CACR_LEP,188
9.612965084536329,9.612965084536329,EOGMathGr5_CACR_Hispanic,169
9.746854823606474,9.746854823606474,EOCMathI_GLP_SWD,73
9.753354399526451,9.753354399526451,EOGScienceGr5&8_CACR_Black,216
9.853081905133742,9.853081905133742,SciGr5&8_pTarget_PctMet,306
9.863793698792529,9.863793698792529,Meets Expected Growth_TCHR_Standard 6_Pct,261
9.866219185088358,9.866219185088358,EOG/EOCSubjects_CACR_White,93
9.886927693563143,9.886927693563143,EOGReadingGr3_CACR_Hispanic,187
9.898181535568522,9.898181535568522,EOGMathGr3_CACR_Black,144
9.918201800962748,9.918201800962748,EOGReadingGr3_GLP_SWD,192
9.955168981724803,9.955168981724803,Crime_Rate_MVT_Rate,34
9.95728561464605,9.95728561464605,EOCSubjects_CACR_Asian,76
9.958188491331205,9.958188491331205,EOGReadingGr3_CACR_Black,185
10.034083953682702,10.034083953682702,unit_code,404
10.106583845648954,10.106583845648954,EOGMathGr3-8_CACR_LEP,135
10.14661006220869,10.14661006220869,lea_avg_student_num,349
10.394137443290488,10.394137443290488,LEACode,253
10.464764402297517,10.464764402297517,EOGReadingGr4_CACR_SWD,198
10.47294972913673,10.47294972913673,EOG/EOCSubjects_CACR_Hispanic,89
10.492611428356772,10.492611428356772,Domestic production activities deduction Ct 25KLT50K,56
10.552462753609682,10.552462753609682,EOCSubjects_CACR_TwoorMoreRaces,81
10.561277885303536,10.561277885303536,EOGSubjects_GLP_LEP,242
10.577883721886428,10.577883721886428,EOGReadingGr5_GLP_SWD,212
10.578123709054287,10.578123709054287,EOCMathI_CACR_Female,65
10.602359531647538,10.602359531647538,EOGReadingGr3-8_CACR_LEP,179
10.61428708912818,10.61428708912818,lea_avg_daily_attend_pct,348
10.671236363871788,10.671236363871788,EOGReadingGr5_CACR_EDS,204
10.723960775121666,10.723960775121666,EOGReadingGr5_GLP_Hispanic,210
10.748762599055182,10.748762599055182,Net investment income tax Amt 100KLT200K,263
10.809267714686678,10.809267714686678,EOCMathI_CACR_AIG,60
10.84397546580747,10.84397546580747,EOGScienceGr5_CACR_Hispanic,228
10.887038737599205,10.887038737599205,SPG Grade_I,304
10.895570891173293,10.895570891173293,lea_highqual_class_hp_pct,358
10.944184168123027,10.944184168123027,05_Size,12
11.013647848982078,11.013647848982078,EOGReadingGr3-8_GLP_LEP,182
11.11036475947384,11.11036475947384,category_cd_I,331
11.323957145865323,11.323957145865323,EOGMathGr3_CACR_Hispanic,146
11.356303420398485,11.356303420398485,Math I Score,254
11.366593086891823,11.366593086891823,EOCMathI_GLP_LEP,72
11.371635269699624,11.371635269699624,EOGMathGr3_CACR_SWD,148
11.464963656173051,11.464963656173051,Math SPG Grade_B,256
11.478026903950282,11.478026903950282,EOGMathGr5_CACR_Black,167
11.659538169660099,11.659538169660099,EOCSubjects_CACR_LEP,79
11.70600911136801,11.70600911136801,SPG Grade_B,300
11.741733545615784,11.741733545615784,Self-employment retirement plans Amt 25KLT50K,308
11.751016814043785,11.751016814043785,EOCMathI_CACR_LEP,67
11.767494968359626,11.767494968359626,EOGReadingGr4_GLP_SWD,201
11.795036285275277,11.795036285275277,EOG/EOCSubjects_GLP_LEP,94
11.90640821656192,11.90640821656192,EOGMathGr3_GLP_SWD,151
12.002752697512086,12.002752697512086,Math I_Size,255
12.202944445906368,12.202944445906368,EOCSubjects_GLP_LEP,82
12.253461883321313,12.253461883321313,State and local general sales taxes Amt GE200K,310
12.332658710003134,12.332658710003134,Math SPG Grade_F,259
12.483821960827758,12.483821960827758,EOGScienceGr5&8_CACR_SWD,220
12.76543272057834,12.76543272057834,EOGScienceGr5&8_CACR_White,222
12.963304980193621,12.963304980193621,EOGReadingGr3-8_CACR_Hispanic,178
13.35506948099795,13.35506948099795,01_Size,8
13.359155726098862,13.359155726098862,EVAAS Growth Score,243
13.459329900714653,13.459329900714653,Add Medicare tax Amt 100KLT200K,20
13.637044779062636,13.637044779062636,Reading SPG Grade_B,286
13.637325292518845,13.637325292518845,EOG/EOCSubjects_CACR_SWD,91
13.847890631029964,13.847890631029964,EOGMathGr5_CACR_AIG,164
14.212622532698887,14.212622532698887,EOGScienceGr5&8_CACR_AIG,213
14.241386513272879,14.241386513272879,Domestic production activities deduction Ct 50KLT75K,57
14.279664270003412,14.279664270003412,EOGMathGr4_CACR_White,161
14.285069700461888,14.285069700461888,Partnership/S-corp net income (less loss) Amt LT25K,279
14.337318517208214,14.337318517208214,00_Size,7
14.378531785791193,14.378531785791193,category_cd_M,332
14.428796414940852,14.428796414940852,03_Size,10
14.628430447665492,14.628430447665492,EOGReadingGr3-8_CACR_Black,176
14.695363373525332,14.695363373525332,04_Size,11
14.822135134694625,14.822135134694625,Alternative minimum tax Ct 50KLT75K,27
14.844976199598879,14.844976199598879,EOGMathGr3-8_CACR_Hispanic,134
15.133500791725076,15.133500791725076,EOGGr3_GLP_SWD,105
15.206836858616168,15.206836858616168,02_Size,9
15.290494492158494,15.290494492158494,EOGMathGr3-8_GLP_SWD,140
15.60678875674234,15.60678875674234,EOCSubjects_CACR_AIG,74
15.66491076159326,15.66491076159326,Domestic production activities deduction Ct 75KLT100K,58
15.742503227700677,15.742503227700677,Attrtion_Reason_OtherReasons,30
15.886881068590304,15.886881068590304,EOGScienceGr5_CACR_SWD,230
16.058927939070074,16.058927939070074,EOGGr3_CACR_White,104
16.135318456054584,16.135318456054584,EOGMathGr3_CACR_White,150
16.323698321650994,16.323698321650994,EOGScienceGr5&8_GLP_SWD,224
16.675480711260036,16.675480711260036,EOGReadingGr4_CACR_EDS,195
16.70479057962545,16.70479057962545,EOGSubjects_CACR_Black,237
16.855712565529686,16.855712565529686,EOGScienceGr5&8_CACR_EDS,217
17.10935554202293,17.10935554202293,EOGMathGr3-8_CACR_Black,132
17.386123269539077,17.386123269539077,EOGScienceGr5_CACR_Black,226
17.419106017185243,17.419106017185243,EOGGr4_CACR_EDS,111
17.764000212913313,17.764000212913313,EOG/EOCSubjects_CACR_EDS,88
17.89707993416469,17.89707993416469,EOGReadingGr3-8_GLP_SWD,183
17.897645171493313,17.897645171493313,EOGMathGr3-8_CACR_SWD,136
17.928571724404936,17.928571724404936,EOGReadingGr3_CACR_EDS,186
18.11326405317225,18.11326405317225,Excess earned income credit (refundable) Amt 50KLT75K,249
18.429307946810873,18.429307946810873,EOG/EOCSubjects_CACR_AIG,83
18.55077623298857,18.55077623298857,EOGScienceGr5_GLP_SWD,233
18.62095352163818,18.62095352163818,EOGGr4_CACR_White,116
18.813487538010666,18.813487538010666,avg_age_media_collection,320
