feature_names,weights,absolute_weights
category_cd_T,0.0020598241964892875,0.0020598241964892875
lea_nbpts_num,-0.0020479229131073577,0.0020479229131073577
EOCMathI_CACR_Hispanic,0.002026225870449167,0.002026225870449167
EOG/EOCSubjects_CACR_EDS,-0.0020072733212736678,0.0020072733212736678
(TCE) prepared returns Ct 100KLT200K,0.0020018527217870938,0.0020018527217870938
EOCMathI_CACR_AmericanIndian,-0.0019872637938358963,0.0019872637938358963
lea_highqual_class_hp_pct,-0.0019434320463108065,0.0019434320463108065
Domestic production activities deduction Ct 25KLT50K,0.001942843071825926,0.001942843071825926
EOG/EOCSubjects_CACR_All,-0.00191213388024555,0.00191213388024555
lea_long_susp_per_c_num,0.0018983234945669468,0.0018983234945669468
EOGGr4_GLP_LEP,0.0018969523978356927,0.0018969523978356927
st_emer_prov_teach_pct,-0.0018705575881441368,0.0018705575881441368
EOGGr4_CACR_EDS,-0.0018674231374911708,0.0018674231374911708
EOGScienceGr5&8_CACR_AIG,0.0018623729265873743,0.0018623729265873743
EOGGr4_GLP_SWD,0.0018622266721032928,0.0018622266721032928
Meets Expected Growth_TCHR_Student Growth_Pct,-0.0018611904547078104,0.0018611904547078104
EOGMathGr3-8_CACR_LEP,0.0018553284983801963,0.0018553284983801963
EVAAS Growth Status_Met,0.0018532765991906056,0.0018532765991906056
EOGReadingGr3-8_CACR_EDS,-0.0018362560370125602,0.0018362560370125602
EOCSubjects_CACR_LEP,-0.0018265318846866314,0.0018265318846866314
lea_avg_daily_attend_pct,-0.001821717524518888,0.001821717524518888
category_cd_M,-0.0018085589805933362,0.0018085589805933362
EOGReadingGr3_CACR_LEP,0.0017654576068445232,0.0017654576068445232
EOGReadingGr5_GLP_AmericanIndian,0.0017587575570908185,0.0017587575570908185
Reading SPG Grade_F,0.0017278274115071048,0.0017278274115071048
esea_status_P,0.001711328948355427,0.001711328948355427
SPG Grade_F,-0.0017022056596346065,0.0017022056596346065
EOGReadingGr5_GLP_SWD,-0.0016926305612932763,0.0016926305612932763
Math SPG Grade_F,-0.001691173348664185,0.001691173348664185
Domestic production activities deduction Amt LT25K,0.0016744412376158875,0.0016744412376158875
advance_dgr_pct,0.0016659537954520484,0.0016659537954520484
EOGGr5_CACR_Black,-0.0016211325647434369,0.0016211325647434369
Domestic production activities deduction Ct LT25K,-0.001614696007189045,0.001614696007189045
EOGScienceGr5&8_CACR_Black,0.0015961404912856352,0.0015961404912856352
Exceeds Expected Growth_TCHR_Standard 6_Pct,0.0015938402261744902,0.0015938402261744902
EOGScienceGr5_CACR_AmericanIndian,-0.0015646257111484208,0.0015646257111484208
calendar_type_txt_Hospital School,0.0015461266689632937,0.0015461266689632937
Does Not Meet Expected Growth_TCHR_Standard 6_Pct,0.0015343011005993076,0.0015343011005993076
Domestic production activities deduction Ct 50KLT75K,-0.0015205358037325093,0.0015205358037325093
EOGMathGr3-8_CACR_SWD,0.0015187707827956356,0.0015187707827956356
esea_status_R,-0.0015170804305986007,0.0015170804305986007
02_Size,0.0015035379367253116,0.0015035379367253116
Math SPG Grade_C,-0.0014974629413096264,0.0014974629413096264
EOGReadingGr5_CACR_SWD,0.0014935331203432267,0.0014935331203432267
EOGMathGr3_CACR_AmericanIndian,0.0014925483090410816,0.0014925483090410816
Not Demostrated_TCHR_Standard 2_Pct,-0.0014878463003433046,0.0014878463003433046
highqual_class_pct,0.0014495121366236447,0.0014495121366236447
EOGReadingGr3-8_CACR_Black,-0.0014434640764098316,0.0014434640764098316
st_nbpts_num,-0.0014074704376156252,0.0014074704376156252
st_flicensed_teach_pct,-0.001400273188082969,0.001400273188082969
Domestic production activities deduction Amt 25KLT50K,-0.0013935463559413813,0.0013935463559413813
EOGGr5_CACR_SWD,-0.0013519619297412448,0.0013519619297412448
EOGMathGr4_GLP_LEP,-0.0013496878315592516,0.0013496878315592516
EOGGr4_CACR_TwoorMoreRaces,-0.0013430211302749681,0.0013430211302749681
lea_not_highqual_class_lp_pct,-0.0013206213033602017,0.0013206213033602017
EOGGr5_CACR_TwoorMoreRaces,0.0013135755822489257,0.0013135755822489257
Meets Expected Growth_TCHR_Standard 6_Pct,0.0013092669116777085,0.0013092669116777085
EOGSubjects_GLP_LEP,0.0012997432787412331,0.0012997432787412331
EOGReadingGr4_CACR_LEP,0.0012958007584639246,0.0012958007584639246
EOGGr5_CACR_LEP,0.0012943246856715876,0.0012943246856715876
EOGMathGr3_CACR_Hispanic,-0.0012939710069029783,0.0012939710069029783
EOGMathGr3-8_CACR_TwoorMoreRaces,-0.001290793282225036,0.001290793282225036
Byod_Yes,0.0012797386724403507,0.0012797386724403507
lea_crime_per_c_num,0.0012717102017557745,0.0012717102017557745
EOGMathGr4_CACR_Hispanic,-0.0012490058232913015,0.0012490058232913015
EOGSubjects_CACR_SWD,0.0012412978336618944,0.0012412978336618944
EOGMathGr5_CACR_Black,0.0012082514938889918,0.0012082514938889918
EOCMathI_CACR_TwoorMoreRaces,-0.0012063726408757195,0.0012063726408757195
EOGReadingGr3-8_GLP_LEP,-0.001206216732890405,0.001206216732890405
EOCMathI_CACR_LEP,-0.001203073006479846,0.001203073006479846
EOCMathI_CACR_Asian,0.0012001185557926394,0.0012001185557926394
EOGMathGr3_CACR_AIG,-0.0011878029954361675,0.0011878029954361675
EOG/EOCSubjects_GLP_LEP,0.0011836458045403685,0.0011836458045403685
Domestic production activities deduction Amt 50KLT75K,0.001180299477410128,0.001180299477410128
Does Not Meet Expected Growth_TCHR_Student Growth_Pct,0.001168070670480388,0.001168070670480388
Alternative minimum tax Ct 75KLT100K,0.0011643314027576653,0.0011643314027576653
EOGGr3_CACR_TwoorMoreRaces,-0.0011438112958015848,0.0011438112958015848
SBE District_Piedmont-Triad,-0.0011293668041037117,0.0011293668041037117
EOCSubjects_CACR_Asian,-0.001119865526879621,0.001119865526879621
