County,FIPS_Code,County_Seat,Created,Origin,Etymoloty,Population_2017,Area,Map,_1yr_tchr_trnovr_pct,szip_ad
Robeson County,155,Lumberton,1787,Bladen County,"Thomas Robeson, an officer in the American Revolutionary War","134,187","951 sq mi(2,463 km2)",,0.11461904761904759,28364.761904761905
Rockingham County,157,Wentworth,1785,Guilford County,"Charles Watson-Wentworth, 2nd Marquess of Rockingham (1730–1782), a British statesmen and two-time Prime Minister of Great Britain","91,566","572 sq mi(1,481 km2)",,0.1426400000000001,27244.96
Rowan County,159,Salisbury,1753,Anson County,"Matthew Rowan (d. 1769), was the acting Governor of colonial North Carolina following the death of Governor Nathaniel Rice","138,940","524 sq mi(1,357 km2)",,0.1666571428571429,28048.714285714286
Rutherford County,161,Rutherfordton,1779,Tryon County,"Griffith Rutherford (c. 1721–1805), an officer in the American Revolutionary War and a political leader in North Carolina","66,523","566 sq mi(1,466 km2)",,0.11011111111111112,28071.944444444445
Sampson County,163,Clinton,1784,Duplin County,"John Sampson, a member of Josiah Martin's council","63,664","947 sq mi(2,453 km2)",,0.10904347826086956,28350.869565217392
Scotland County,165,Laurinburg,1899,Richmond County,"The country Scotland, part of the United Kingdom","35,445",321 sq mi(831 km2),,0.1755,28355.5
Stanly County,167,Albemarle,1841,Montgomery County,"John Stanly (1774–1834), a United States Congressman and Speaker of the North Carolina House of Commons","60,875","404 sq mi(1,046 km2)",,0.11195,28070.3
Stokes County,169,Danbury,1789,Surry County,"John Stokes, a soldier of the Revolution who was seriously wounded at the Waxhaw massacre","46,124","456 sq mi(1,181 km2)",,0.13621052631578945,27034.157894736843
Surry County,171,Dobson,1771,Rowan County,"The county of Surrey in England, birthplace of then governor William Tryon","72,315","538 sq mi(1,393 km2)",,0.07603846153846155,27275.846153846152
Swain County,173,Bryson City,1871,Jackson County and Macon County,"David Lowry Swain (1801–1868), a governor of North Carolina and president of the University of North Carolina","14,208","541 sq mi(1,401 km2)",,0.15275,28713.0
Transylvania County,175,Brevard,1861,Henderson County and Jackson County,"Derived from the Latin words, trans meaning across and sylva meaning woods","33,291",381 sq mi(987 km2),,0.14755555555555555,28735.88888888889
Tyrrell County,177,Columbia,1729,"Chowan County, Currituck County, and Pasquotank County","John Tyrrell, at one time was a Lords Proprietor","4,090","600 sq mi(1,554 km2)",,0.17,27925.0
Union County,179,Monroe,1842,Anson County and Mecklenburg County,Created as a compromise after a dispute between local Whigs and Democrats as to whether it should be named Clay or Jackson county,"222,095","640 sq mi(1,658 km2)",,0.1248653846153846,28122.096153846152
