,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
Number of volunteer prepared returns Tot 50KLT75K,0.5,0.56,0.32,0.31,0.27,0.0,0.0,0.05,0.25
EOGReadingGr5_GLP_AmericanIndian,0.5,0.48,0.32,0.31,0.36,0.0,0.0,0.01,0.25
05_Size,0.5,0.38,0.32,0.29,0.33,0.01,0.04,0.12,0.25
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.5,0.41,0.32,0.31,0.25,0.02,0.04,0.13,0.25
EOGGr3_CACR_Asian,0.5,0.38,0.3,0.27,0.4,0.0,0.02,0.09,0.25
EOGMathGr4_CACR_SWD,0.5,0.39,0.32,0.3,0.32,0.0,0.06,0.11,0.25
TotalTargets_pTarget_PctMet,0.5,0.26,0.16,0.09,0.89,0.01,0.01,0.11,0.25
lea_ib_pct_4_or_above,0.5,0.54,0.34,0.34,0.25,0.0,0.0,0.05,0.25
Grad_project_status_Y,0.5,0.46,0.36,0.35,0.27,0.0,0.02,0.04,0.25
EOGMathGr4_CACR_Black,0.5,0.41,0.32,0.31,0.33,0.0,0.0,0.1,0.25
EOGMathGr4_CACR_Asian,0.5,0.46,0.32,0.33,0.33,0.0,0.01,0.03,0.25
calendar_only_txt_Year-Round Calendar,0.15,0.44,0.32,0.31,0.79,0.0,0.0,0.01,0.25
EOGMathGr3_GLP_SWD,0.5,0.39,0.27,0.26,0.4,0.0,0.06,0.13,0.25
EVAAS Growth Status_Met,0.5,0.45,0.34,0.33,0.35,0.0,0.0,0.01,0.25
"calendar_type_txt_Special Education, Traditional Calendar",0.5,0.45,0.32,0.37,0.35,0.0,0.0,0.01,0.25
SRC_devices_sent_home_Yes,0.5,0.38,0.29,0.27,0.49,0.0,0.01,0.03,0.25
lea_books_per_student,0.5,0.28,0.32,0.17,0.68,0.02,0.01,0.03,0.25
EOGReadingGr3-8_CACR_Black,0.5,0.4,0.32,0.31,0.26,0.01,0.0,0.22,0.25
calendar_type_txt_Hospital School,0.5,0.45,0.32,0.31,0.38,0.0,0.0,0.01,0.25
State Gap Compared_Y,0.5,0.41,0.32,0.31,0.34,0.0,0.02,0.06,0.24
